case_id,group_id,original_fold0_role,original_active_fold_training_direct,original_active_fold_training_group,original_validation_subset_direct,original_validation_subset_group,original_all_fold_normalizer_pool_direct,original_all_fold_normalizer_pool_group,original_development_direct,original_development_group,old_locked_only_sensitivity
BRATS_266,sg_47ad4a78768d946f,outer_val,False,False,False,False,True,True,True,True,False
BRATS_268,sg_56143f5cb2b81628,locked_test,False,False,False,False,False,False,False,False,True
BRATS_273,sg_4c38c49cc72ad103,locked_test,False,False,False,False,False,False,False,False,True
BRATS_278,sg_5c0779fb48082fce,locked_test,False,False,False,False,False,False,False,False,True
BRATS_285,sg_3ffd0110fd8c70a1,outer_val,False,False,False,False,True,True,True,True,False
BRATS_298,sg_8564c7b4b8bd716c,locked_test,False,False,False,False,False,False,False,False,True
BRATS_302,sg_155b562e5b5b19e2,outer_val,False,False,False,False,True,True,True,True,False
BRATS_304,sg_d7b9b04ec447b240,inner_val,False,False,False,False,True,True,True,True,False
BRATS_306,sg_4151cfd07ac3e1b0,locked_test,False,False,False,False,False,False,False,False,True
BRATS_307,sg_b631751e1743212d,outer_val,False,False,False,False,True,True,True,True,False
BRATS_318,sg_573aa66b02bed579,inner_val,False,False,False,False,True,True,True,True,False
BRATS_322,sg_3e3be46d07dde9ba,inner_val,False,False,False,False,True,True,True,True,False
BRATS_325,sg_310e9599bf94bf9b,locked_test,False,False,False,False,False,False,False,False,True
BRATS_326,sg_455084cc52da07da,locked_test,False,False,False,False,False,False,False,False,True
BRATS_327,sg_edd8bce225d29352,locked_test,False,False,False,False,False,False,False,False,True
BRATS_332,sg_7f5e5ea0a85929e0,locked_test,False,False,False,False,False,True,False,True,False
BRATS_336,sg_7f5e5ea0a85929e0,outer_val,False,False,False,False,True,True,True,True,False
BRATS_342,sg_444c950e61a18f08,locked_test,False,False,False,False,False,False,False,False,True
BRATS_348,sg_9e8efd497a898fe7,outer_val,False,False,False,False,True,True,True,True,False
BRATS_354,sg_5a1ac60f33875cd1,outer_val,False,False,False,False,True,True,True,True,False
BRATS_358,sg_60f2b2abbb8756cc,inner_val,False,False,False,False,True,True,True,True,False
BRATS_360,sg_95a201f987a173c4,outer_val,False,False,False,False,True,True,True,True,False
BRATS_374,sg_d72cc5be6db7b3ed,locked_test,False,False,False,False,False,False,False,False,True
BRATS_384,sg_6c3b7da86323c267,outer_val,False,False,False,False,True,True,True,True,False
BRATS_391,sg_f68c66cac443ae9a,locked_test,False,False,False,True,False,True,False,True,False
BRATS_393,sg_33055ac40922cca6,locked_test,False,False,False,True,False,True,False,True,False
BRATS_396,sg_76c55b2034ec06a9,outer_val,False,False,False,False,True,True,True,True,False
BRATS_403,sg_09e69c148337e6f2,locked_test,False,False,False,False,False,True,False,True,False
BRATS_414,sg_f05f74ccf0cb9cd0,outer_val,False,False,False,False,True,True,True,True,False
BRATS_438,sg_01ac2338604cf8bc,outer_val,False,False,False,False,True,True,True,True,False
BRATS_450,sg_4f51bee88ad1bdc1,locked_test,False,False,False,False,False,True,False,True,False
BRATS_463,sg_332e12d666debe62,locked_test,False,False,False,False,False,False,False,False,True
BRATS_475,sg_47ad4a78768d946f,locked_test,False,False,False,False,False,True,False,True,False
BRATS_478,sg_4c38c49cc72ad103,locked_test,False,False,False,False,False,False,False,False,True
